Player_x,Player_y,Aimer_x,Aimer_y,Theta
291,375,200,80,330.84000000000003
292,375,199,80,331.48
293,375,198,80,331.12
294,374,197,80,330.76
295,374,196,80,331.06
296,373,195,80,330.68
297,373,194,80,330.98
298,372,193,80,330.6
298,372,194,80,330.90999999999997
299,371,195,80,330.90999999999997
300,371,196,80,331.23
301,370,197,80,330.82
302,370,198,80,331.15
303,369,199,80,330.74
304,369,200,80,331.07
305,368,199,80,330.64
305,368,198,80,330.99
306,367,197,80,330.99
307,367,196,80,331.35
308,366,195,80,330.9
309,366,194,80,331.27
310,365,193,80,330.8
311,365,194,80,331.19
312,364,195,80,330.7
312,364,196,80,331.1
313,363,197,80,331.1
314,363,198,80,331.52
315,362,199,80,331.0
316,362,198,80,331.43
317,361,197,80,330.89
318,361,196,80,331.34000000000003
319,360,195,80,330.77
319,360,194,80,331.24
320,359,193,80,331.24
321,359,194,80,331.74
322,359,195,80,331.13
323,358,196,80,330.5
324,358,197,80,331.01
325,357,198,80,330.34000000000003
326,357,199,80,330.88
326,356,200,80,330.15999999999997
327,356,199,80,331.45
328,355,198,80,330.72
329,355,197,80,331.33000000000004
330,354,196,80,330.55
331,354,195,80,331.19
332,353,194,80,330.36
333,353,193,80,331.03
333,352,194,80,330.14
334,352,195,80,331.76
335,351,196,80,330.85
336,351,197,80,331.63
337,350,198,80,330.64
338,350,199,80,331.48
339,349,200,80,330.4
340,349,199,80,331.28999999999996
340,348,198,80,330.1
341,348,197,80,332.3
342,347,196,80,331.07
343,347,195,80,332.18
344,346,194,80,330.8
345,346,193,80,332.02
346,345,194,80,330.46000000000004
347,345,195,80,331.82
347,344,196,80,330.02
347,344,197,80,215.47
346,343,198,80,215.47
345,343,199,80,215.41
344,342,200,80,215.57
343,342,199,80,215.5
343,341,198,80,215.67000000000002
342,340,197,80,215.44
341,340,196,80,215.37
340,339,195,80,215.54000000000002
339,339,194,80,215.47
338,338,193,80,215.64
338,338,194,80,215.57
337,337,195,80,215.57
336,336,196,80,215.5
335,336,197,80,215.43
334,335,198,80,215.61
334,335,199,80,215.54000000000002
333,334,200,80,215.54000000000002
332,333,199,80,215.47
331,333,198,80,215.39
330,333,197,80,179.06
329,333,196,80,179.06
328,333,195,80,179.06
327,333,194,80,179.05
326,333,193,80,179.05
325,333,192,80,179.05
324,333,191,80,179.05
323,333,192,80,179.04000000000002
322,333,193,80,179.04000000000002
321,333,194,80,179.04000000000002
320,333,195,80,179.03
319,333,196,80,179.03
318,333,197,80,179.03
317,333,196,80,179.01999999999998
316,333,195,80,179.01999999999998
